symbol,sic,sector
INVX,3533,industrials
IOSP,2800,materials
IPAR,2844,materials
IPGP,3674,tech
IRDM,4899,other
IRT,6798,financials
ITGR,3845,healthcare
ITRI,3825,industrials
ITT,3561,industrials
JAZZ,2834,healthcare
JBGS,6798,financials
JBLU,4512,other
JBSS,2060,consumer
JBTM,3550,industrials
JEF,6211,financials
JHG,6282,financials
JJSF,2052,consumer
JLL,6531,financials
JOE,6552,financials
JXN,6311,financials
KAI,3550,industrials
KALU,3350,other
KBH,1531,other
KBR,1600,other
KD,7373,tech
KEX,4400,other
KFY,7361,consumer
KGS,4922,utilities
KLIC,3674,tech
KMPR,6331,financials
KMT,3541,industrials
KMX,5500,consumer
KN,3651,industrials
KNF,1400,materials
KNSL,6331,financials
KNTK,4922,utilities
KNX,4213,other
KOP,2400,other
KRC,6798,financials
KRG,6798,financials
KRYS,2836,healthcare
KSS,5311,consumer
KTB,2320,consumer
KTOS,3760,industrials
KW,6500,financials
KWR,2990,energy
LAD,5500,consumer
LAMR,6798,financials
LAUR,8200,consumer
LBRT,1389,energy
LCII,3714,industrials
LEA,3714,industrials
LECO,3540,industrials
LEG,2510,other
LFST,8000,healthcare
LFUS,3613,industrials
LGIH,1531,other
LGND,2834,healthcare
LIF,7374,tech
LIVN,3845,healthcare
LKFN,6022,financials
LKQ,5010,consumer
LMAT,3841,healthcare
LNC,6311,financials
LNN,3523,industrials
LNTH,2835,healthcare
LOPE,8200,consumer
LPG,4412,other
LPX,2400,other
LQDT,7389,consumer
LRN,8200,consumer
LSCC,3674,tech
LSTR,4213,other
LTC,6798,financials
LTH,7997,consumer
LUMN,4813,other
LW,2030,consumer
LXP,6798,financials
LYFT,7389,consumer
LZ,7374,tech
LZB,2510,other
M,5311,consumer
MAC,6798,financials
MAN,7363,consumer
MANH,7372,tech
MARA,6199,financials
MASI,3845,healthcare
MAT,3942,industrials
MATW,3360,other
MATX,4400,other
MBC,2511,other
MBIN,6022,financials
MC,6282,financials
MCRI,7011,consumer
MCY,6331,financials
MD,8060,healthcare
MDU,1400,materials
MEDP,8731,consumer
MGEE,4900,utilities
MGY,1311,energy
MHK,2273,consumer
MHO,1531,other
MIDD,3580,industrials
MIR,3829,industrials
MKSI,3823,industrials
MKTX,6211,financials
MLI,3350,other
MLKN,2520,other
MMI,6531,financials
MMS,7389,consumer
MMSI,3841,healthcare
MNRO,7500,consumer
MOG.A,,other
MOH,6324,financials
MORN,6282,financials
MP,1000,materials
MPT,6798,financials
MRCY,3670,tech
MRP,6500,financials
MRTN,4213,other
MSA,3842,healthcare
MSEX,4941,utilities
MSGS,7990,consumer
MSM,5084,consumer
MTCH,7370,tech
MTDR,1311,energy
MTG,6351,financials
MTH,1531,other
MTN,7990,consumer
MTRN,3460,industrials
MTSI,3674,tech
MTUS,3312,other
MTX,2810,materials
MTZ,1623,other
MUR,1311,energy
MUSA,5500,consumer
MWA,3490,industrials
MXL,3674,tech
MYRG,1623,other
MZTI,2030,consumer
NABL,7372,tech
NATL,3578,tech
NAVI,6211,financials
NBHC,6021,financials
NBIX,2836,healthcare
NBTB,6021,financials
NE,1381,energy
NEO,8734,consumer
NEOG,2835,healthcare
NEU,2860,materials
NFG,4924,utilities
NGVT,2800,materials
NHC,8051,healthcare
NJR,4924,utilities
NLY,6798,financials
NMIH,6351,financials
NNN,6798,financials
NOG,1311,energy
NOV,3533,industrials
NOVT,3690,tech
NPK,3480,industrials
NPO,3050,other
NSA,6798,financials
NSIT,5961,consumer
NSP,7363,consumer
NSSC,3669,industrials
NTCT,7373,tech
NTNX,7372,tech
NVRI,8900,consumer
NVST,3843,healthcare
NVT,3550,industrials
NWBI,6021,financials
NWE,4931,utilities
NWL,3089,other
NWN,4924,utilities
NX,3350,other
NXRT,6798,financials
NXST,4833,other
NXT,3674,tech
NYT,2711,other
OC,3290,other
OFG,6022,financials
OGE,4911,utilities
OGN,2834,healthcare
OGS,4924,utilities
OHI,6798,financials
OI,3221,other
OII,1389,energy
OKTA,7372,tech
OLED,3670,tech
OLLI,5331,consumer
OLN,2800,materials
OMCL,3571,tech
ONB,6021,financials
ONTO,3829,industrials
OPCH,8082,healthcare
OPLN,5500,consumer
ORA,4911,utilities
ORI,6351,financials
OSIS,3674,tech
OSK,3711,industrials
OSW,7997,consumer
OTTR,4911,utilities
OUT,6798,financials
OVV,1311,energy
OXM,2320,consumer
OZK,,other
P,3572,tech
PAG,5500,consumer
PAHC,2834,healthcare
PARR,1311,energy
PATH,7372,tech
PATK,3714,industrials
PAYC,7372,tech
PAYO,7389,consumer
PB,6022,financials
PBF,,other
PBH,2834,healthcare
PBI,3579,tech
PCRX,2834,healthcare
PCTY,7372,tech
PDFS,7372,tech
PEB,6798,financials
PECO,6798,financials
PEGA,7374,tech
PEN,3841,healthcare
PENG,3674,tech
PENN,7011,consumer
PFBC,,other
PFGC,5141,consumer
PFS,6035,financials
PGNY,8090,healthcare
PHIN,3714,industrials
PI,3679,tech
PII,3790,industrials
PINS,7370,tech
PIPR,6211,financials
PJT,6282,financials
PK,7011,consumer
PLAB,3674,tech
PLMR,6331,financials
PLNT,7997,consumer
PLUS,5045,consumer
PLXS,3672,tech
PMT,6798,financials
PNFP,6021,financials
POR,4911,utilities
POST,2040,consumer
POWI,3674,tech
POWL,3613,industrials
PPC,2015,consumer
PR,1311,energy
PRA,6331,financials
PRAA,6153,financials
PRDO,8200,consumer
PRG,7359,consumer
PRGO,2834,healthcare
PRGS,7372,tech
PRI,6311,financials
PRIM,1623,other
PRK,6021,financials
PRKS,7990,consumer
PRLB,3440,industrials
PRSU,7990,consumer
PRVA,8000,healthcare
PSMT,5331,consumer
PSN,7373,tech
PTCT,2834,healthcare
PTEN,1381,energy
PTGX,2834,healthcare
PVH,2320,consumer
PZZA,5812,consumer
QDEL,2835,healthcare
QLYS,7372,tech
QNST,7389,consumer
QRVO,3674,tech
QTWO,7372,tech
R,7510,consumer
RAL,3823,industrials
RAMP,7374,tech
RBA,7389,consumer
RBC,3562,industrials
RCUS,2834,healthcare
RDN,6351,financials
RDNT,8071,healthcare
RELY,7389,consumer
RES,1389,energy
REX,2860,materials
REXR,6798,financials
REYN,2673,other
REZI,5072,consumer
RGA,6311,financials
RGEN,2836,healthcare
RGLD,6795,financials
RH,5712,consumer
RHI,7363,consumer
RHP,6798,financials
RITM,6798,financials
RLI,6331,financials
RMBS,3674,tech
RNG,7374,tech
RNR,6331,financials
RNST,6022,financials
ROCK,3310,other
ROG,2821,materials
ROIV,2834,healthcare
RPM,2851,materials
RRC,1311,energy
RRR,7011,consumer
RRX,3569,industrials
RS,5051,consumer
RUN,3690,tech
RUSHA,5500,consumer
RWT,6798,financials
RXO,4700,other
RYAN,6411,financials
RYN,6798,financials
SABR,7370,tech
SAFE,6798,financials
SAFT,6331,financials
SAH,5500,consumer
SAIA,4213,other
SAIC,7373,tech
SAM,2082,consumer
SANM,3672,tech
SARO,3724,industrials
SBCF,6022,financials
SBH,5990,consumer
SBRA,6798,financials
SBSI,6022,financials
SCHL,2731,other
SCI,7200,consumer
SCL,2840,materials
SCSC,5045,consumer
SDGR,2834,healthcare
SEDG,3674,tech
SEIC,6211,financials
SEM,8060,healthcare
SEZL,7389,consumer
SF,6211,financials
SFBS,6022,financials
SFM,5411,consumer
SFNC,6021,financials
SGI,2510,other
SHAK,5810,consumer
SHC,8090,healthcare
SHEN,4813,other
SHO,7011,consumer
SHOO,3140,other
SIG,5944,consumer
SIGI,6331,financials
SITM,3674,tech
SKT,6798,financials
SKY,2451,other
SKYW,4512,other
SLAB,3674,tech
SLG,6798,financials
SLGN,3411,industrials
SLM,6141,financials
SLVM,2621,other
SM,1311,energy
SMG,2870,materials
SMP,3714,industrials
SMPL,2000,consumer
SMTC,3674,tech
SN,3630,industrials
SNDR,4213,other
SNEX,6200,financials
SNX,5045,consumer
SOLS,2800,materials
SON,2650,other
SONO,3651,industrials
SPHR,7900,consumer
SPNT,6331,financials
SPSC,7372,tech
SPXC,3540,industrials
SR,4924,utilities
SRPT,2834,healthcare
SSB,6022,financials
SSD,3420,industrials
SSTK,7374,tech
ST,3823,industrials
STAA,3851,healthcare
STAG,6798,financials
STBA,6022,financials
STC,6361,financials
STEL,6021,financials
STEP,6282,financials
STRA,8200,consumer
STRL,1600,other
STWD,6798,financials
SUPN,2834,healthcare
SWX,4923,utilities
SXI,3580,industrials
SXT,2860,materials
SYNA,3674,tech
TALO,1311,energy
TBBK,6021,financials
TCBI,6022,financials
TDC,7372,tech
TDS,4813,other
TDW,4400,other
TEX,3537,industrials
TFIN,6022,financials
TFX,3841,healthcare
TGTX,2834,healthcare
THC,8062,healthcare
THG,6331,financials
THO,3716,industrials
THRM,3714,industrials
TILE,2273,consumer
TKR,3562,industrials
TLN,4911,utilities
TMDX,3845,healthcare
TMHC,1531,other
TMP,6022,financials
TNC,3580,industrials
TNDM,3841,healthcare
TNL,7011,consumer
TOL,1531,other
TR,2060,consumer
TREX,2400,other
TRIP,7370,tech
TRMK,6021,financials
TRN,3743,industrials
TRNO,6500,financials
TRST,6022,financials
TRU,7320,consumer
TRUP,6324,financials
TTC,3524,industrials
TTEK,8711,consumer
TTMI,3672,tech
TWLO,7372,tech
TWO,6798,financials
