date,nc_net,comm_net,open_interest
2015-03-10,-9900,-18475,830808
2015-03-17,-7095,-15540,904970
2015-03-24,2026,-23397,629452
2015-03-31,-335,-19946,635500
2015-04-07,30,-18361,643859
2015-04-14,-146,-16679,648744
2015-04-21,1229,-16067,658194
2015-04-28,3547,-15213,667287
2015-05-05,-5898,-1910,669417
2015-05-12,-5307,-3957,674672
2015-05-19,5726,-11607,683932
2015-05-26,-5724,-4115,685015
2015-06-02,2335,-14811,699436
2015-06-09,-12240,-2002,744892
2015-06-16,-9628,234,818130
2015-06-23,-9519,4181,608957
2015-06-30,-22810,13188,624941
2015-07-07,-27026,22169,644368
2015-07-14,-16132,14437,633569
2015-07-21,-8872,5391,635291
2015-07-28,-11341,3187,647180
2015-08-04,-15743,7083,651953
2015-08-11,-24209,16416,671573
2015-08-18,-17176,17794,688260
2015-08-25,-5601,-16,782911
2015-09-01,-26553,28946,816628
2015-09-08,-30958,40481,848170
2015-09-15,-35200,39148,921243
2015-09-22,-40770,43686,679965
2015-09-29,-34740,34869,686659
2015-10-06,-44256,56550,696897
2015-10-13,-39697,47364,692719
2015-10-20,-40980,49219,700025
2015-10-27,-24373,35052,668152
2015-11-03,-26122,36821,671878
2015-11-10,-20236,24508,689592
2015-11-17,-16524,17966,680871
2015-11-24,-11601,13943,678277
2015-12-01,-10232,11851,685208
2015-12-08,-9475,3907,689577
2015-12-15,-5030,-1366,757425
2015-12-22,-11365,8068,593654
2015-12-29,-12686,9672,584476
2016-01-05,-16808,12594,612018
2016-01-12,-28599,23114,649905
2016-01-19,-34059,23040,681362
2016-01-26,-23581,19968,687081
2016-02-02,-45371,51477,719671
2016-02-09,-40484,43296,742952
2016-02-16,-32403,36372,760791
2016-02-23,-42045,55362,761112
2016-03-01,-39198,49853,776246
2016-03-08,-36887,44316,812089
2016-03-15,-37632,43510,835103
2016-03-22,-25178,37416,624401
2016-03-29,-19218,26999,632054
2016-04-05,-15664,21476,640464
2016-04-12,-10284,13672,644744
2016-04-19,60,9170,647049
2016-04-26,13818,-11684,653325
2016-05-03,10203,-8921,640333
2016-05-10,11825,-9739,648848
2016-05-17,6486,-66,644341
2016-05-24,25612,-17443,673452
2016-05-31,14952,-2625,681779
2016-06-07,2964,7222,715957
2016-06-14,30473,-24370,774471
2016-06-21,14949,-18511,620998
2016-06-28,14048,-4782,673460
2016-07-05,10225,1413,689194
2016-07-12,19324,-15241,685818
2016-07-19,36262,-31516,688835
2016-07-26,41535,-36960,688070
2016-08-02,33057,-29740,683947
2016-08-09,32389,-30356,676437
2016-08-16,38477,-34735,682836
2016-08-23,42197,-37002,700378
2016-08-30,48849,-43453,710340
2016-09-06,41859,-36011,735322
2016-09-13,18564,-17090,825324
2016-09-20,19766,-16075,641083
2016-09-27,17161,-12807,641376
2016-10-04,10735,-2602,659410
2016-10-11,-2217,222,667013
2016-10-18,12656,-12586,665364
2016-10-25,18,7368,682461
2016-11-01,1972,2408,681289
2016-11-08,9673,-5582,672984
2016-11-15,3918,1111,667044
2016-11-22,-8553,15786,697761
2016-11-29,-18858,22909,707887
2016-12-06,-19245,18927,702523
2016-12-13,-8711,10817,779925
2016-12-20,-1015,746,607961
2016-12-27,6654,-7050,609421
2017-01-03,20911,-23839,628650
2017-01-10,6417,-13080,628415
2017-01-17,8909,-10231,624477
2017-01-24,16276,-22518,639223
2017-01-31,15167,-17622,636204
2017-02-07,9174,-12168,647479
2017-02-14,12843,-8368,675290
2017-02-21,8440,-5255,693015
2017-02-28,20299,-15572,717622
2017-03-07,34473,-35577,742520
2017-03-14,40723,-49028,801763
2017-03-21,27773,-31597,622785
2017-03-28,44524,-52733,634041
2017-04-04,31524,-34899,625889
2017-04-11,28763,-33650,631099
2017-04-18,29311,-32502,642634
2017-04-25,28663,-28849,653341
2017-05-02,16379,-10071,656419
2017-05-09,11610,-10694,680155
2017-05-16,1853,-240,684563
2017-05-23,1493,5953,691817
2017-05-30,3134,6779,695192
2017-06-06,4351,4907,706889
2017-06-13,6086,-1278,785893
2017-06-20,3463,-934,605483
2017-06-27,6810,-8106,616094
2017-07-03,16192,-17047,613110
2017-07-11,18348,-20696,614457
2017-07-18,21761,-18476,631177
2017-07-25,23631,-23508,654894
2017-08-01,15517,-11557,668674
2017-08-08,15262,-7007,681713
2017-08-15,28128,-21285,695177
2017-08-22,24951,-19711,713658
2017-08-29,35991,-26691,731582
2017-09-05,27555,-20758,735493
2017-09-12,31770,-21373,810813
2017-09-19,21137,-12531,661762
2017-09-26,25026,-18261,657752
2017-10-03,19927,-12866,650232
2017-10-10,27981,-21800,665557
2017-10-17,32720,-25208,669706
2017-10-24,26432,-21478,692744
2017-10-31,32018,-31427,701203
2017-11-07,27702,-20968,715963
2017-11-14,30368,-27621,720635
2017-11-21,22520,-22858,738955
2017-11-28,22788,-22165,756344
2017-12-05,34401,-40608,780215
2017-12-12,18126,-20124,863122
2017-12-19,18164,-23448,641391
2017-12-26,23181,-28451,663937
2018-01-02,33732,-41701,662131
2018-01-09,13468,-23154,704939
2018-01-16,23698,-34132,719920
2018-01-23,29980,-37710,753197
2018-01-30,38296,-56452,755004
2018-02-06,36189,-47870,764134
2018-02-13,24531,-34530,745984
2018-02-20,12408,-19737,743270
2018-02-27,13351,-19913,751478
2018-03-06,11809,-22525,744178
2018-03-13,13917,-17847,841393
2018-03-20,18529,-30630,584448
2018-03-27,42424,-57888,645461
2018-04-03,42533,-60135,672875
2018-04-10,43517,-57792,682253
2018-04-17,44943,-55442,679003
2018-04-24,46476,-64242,685976
2018-05-01,46432,-64196,680823
2018-05-08,33657,-47939,696497
2018-05-15,42185,-56354,710995
2018-05-22,39144,-56995,731490
2018-05-29,28639,-46189,758381
2018-06-05,42134,-55288,764297
2018-06-12,44705,-59838,808289
2018-06-19,40716,-45217,584145
2018-06-26,41998,-48369,592189
2018-07-03,37264,-44366,591994
2018-07-10,38582,-39578,603377
2018-07-17,42090,-41461,617923
2018-07-24,39936,-43662,618863
2018-07-31,36356,-46068,615259
2018-08-07,36404,-41605,631017
2018-08-14,39025,-44480,628840
2018-08-21,26227,-32527,632271
2018-08-28,32267,-38980,646116
2018-09-04,34477,-45002,648498
2018-09-11,25916,-36403,653358
2018-09-18,30122,-38250,726708
2018-09-25,39657,-54835,579634
2018-10-02,47235,-57210,590542
2018-10-09,53812,-66369,611580
2018-10-16,44205,-56670,627161
2018-10-23,48517,-61511,634547
2018-10-30,55414,-71681,651135
2018-11-06,41700,-53411,642723
2018-11-13,42485,-52496,648679
2018-11-20,48957,-65132,668984
2018-11-27,44182,-58516,667115
2018-12-04,25421,-38386,681655
2018-12-11,38990,-53156,693855
2018-12-18,46776,-67862,709900
2018-12-24,37412,-61127,588676
2018-12-31,34067,-50988,575768
2019-01-08,30107,-37711,573742
2019-01-15,18238,-21980,585987
2019-01-22,10440,-11149,595185
2019-01-29,6637,-10227,599443
2019-02-05,-16223,15648,592490
2019-02-12,-14848,19708,591539
2019-02-19,-16892,19605,589295
2019-02-26,-8460,8950,603122
2019-03-05,-13877,17271,571144
2019-03-12,-7817,10451,620260
2019-03-19,-5483,4471,520024
2019-03-26,8705,-8065,526058
2019-04-02,2555,-4077,533116
2019-04-09,2691,-1714,540171
2019-04-16,7390,-9491,559143
2019-04-23,5570,-6226,575717
2019-04-30,13498,-16402,571216
2019-05-07,17044,-16334,568612
2019-05-14,17490,-19865,571543
2019-05-21,17144,-19611,571843
2019-05-28,15145,-16409,581858
2019-06-04,17522,-9172,581678
2019-06-11,11551,-10319,586932
2019-06-18,10875,-14922,663913
2019-06-25,20330,-22511,516250
2019-07-02,11107,-15517,532421
2019-07-09,4504,-8607,538672
2019-07-16,7016,-11841,556903
2019-07-23,10611,-15465,557604
2019-07-30,12014,-12791,558588
2019-08-06,14909,-11186,549032
2019-08-13,190,-2834,541120
2019-08-20,9856,-14369,546962
2019-08-27,10791,-8127,554812
2019-09-03,-702,-1594,561385
2019-09-10,-3680,-1881,582996
2019-09-17,-2342,-12847,632829
2019-09-24,2913,-9525,512020
2019-10-01,961,-11262,515140
2019-10-08,8950,-15496,517891
2019-10-15,3459,-9943,526647
2019-10-22,6239,-10066,527802
2019-10-29,7065,-13543,546562
2019-11-05,2999,-6939,558295
2019-11-12,3736,-7302,574424
2019-11-19,1171,-2799,585963
2019-11-26,4,-3941,605622
2019-12-03,-5950,363,606563
2019-12-10,-2079,-3199,622140
2019-12-17,1829,-22206,675130
2019-12-24,6175,-15531,556980
2019-12-31,10067,-20290,566928
2020-01-07,5542,-11265,567613
2020-01-14,8505,-17596,568311
2020-01-21,4576,-14463,587888
2020-01-28,6902,-12650,583370
2020-02-04,10239,-16839,575449
2020-02-11,9614,-15550,596376
2020-02-18,9840,-16181,607316
2020-02-25,13843,-23132,617822
2020-03-03,2411,-7292,687840
2020-03-10,2204,6027,783449
2020-03-17,11926,-8043,1024737
2020-03-24,3008,122,695310
2020-03-31,-2132,19149,754083
2020-04-07,-15665,33483,772134
2020-04-14,-28976,51950,777289
2020-04-21,-23058,42515,774339
2020-04-28,-33824,53402,764991
2020-05-05,-32463,56681,750913
2020-05-12,-31841,57481,753246
2020-05-19,-34854,55659,748020
2020-05-26,-39285,59494,748823
2020-06-02,-33160,52551,750830
2020-06-09,-30356,43102,766888
2020-06-16,-45327,54572,812088
2020-06-23,-19416,32153,520654
2020-06-30,-12847,24415,538487
2020-07-07,-7776,20615,533758
2020-07-14,-5709,18456,536906
2020-07-21,-7221,16913,542138
2020-07-28,-4170,14607,551791
2020-08-04,-6486,14718,559277
2020-08-11,-6435,16821,566508
2020-08-18,-4518,10000,574834
2020-08-25,-10133,18947,579474
2020-09-01,-231,9713,590438
2020-09-08,8136,4209,577671
2020-09-15,6075,-5676,620388
2020-09-22,10192,-7230,502173
2020-09-29,14632,-13900,502009
2020-10-06,15857,-11483,507185
2020-10-13,10650,-8643,509854
2020-10-20,10884,-11424,503160
2020-10-27,23530,-21763,500239
2020-11-03,16594,-15222,496324
