symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
BKNG,us,2012-09-30,2013-02-27T00:00:00,,,596586000.0,,,3577864000.0,,,22.05,sec_edgar:companyfacts
BKNG,us,2012-12-31,2013-02-27T00:00:00,,,288663000.0,,,3896975000.0,,,27.66,sec_edgar:companyfacts
BKNG,us,2013-03-31,2013-05-09T00:00:00,,,,,,3990835000.0,,,4.76,sec_edgar:companyfacts
BKNG,us,2013-06-30,2013-08-08T00:00:00,,,,,,5857660000.0,,,13.18,sec_edgar:companyfacts
BKNG,us,2013-09-30,2013-11-07T00:00:00,,,,,,6396622000.0,,,29.0,sec_edgar:companyfacts
BKNG,us,2013-12-31,2014-02-20T00:00:00,,,,,,6909729000.0,1742047000.0,,36.11,sec_edgar:companyfacts
BKNG,us,2014-03-31,2014-05-08T00:00:00,,,,,,7209409000.0,,,6.25,sec_edgar:companyfacts
BKNG,us,2014-06-30,2014-08-11T00:00:00,,,,,,7824032000.0,,,17.12,sec_edgar:companyfacts
BKNG,us,2014-09-30,2014-11-04T00:00:00,,,,,,8733111000.0,3887243000.0,,37.13,sec_edgar:companyfacts
BKNG,us,2014-12-31,2015-02-19T00:00:00,,,,,,8566694000.0,3849756000.0,,45.67,sec_edgar:companyfacts
BKNG,us,2015-03-31,2015-05-07T00:00:00,,,,,,8630125000.0,5304108000.0,,6.36,sec_edgar:companyfacts
BKNG,us,2015-06-30,2015-08-05T00:00:00,,,,,,8557965000.0,5399966000.0,,16.27,sec_edgar:companyfacts
BKNG,us,2015-09-30,2015-11-09T00:00:00,,,,,,8526773000.0,5421328000.0,,39.4,sec_edgar:companyfacts
BKNG,us,2015-12-31,2016-02-17T00:00:00,,,,,,8795469000.0,6158443000.0,,49.45,sec_edgar:companyfacts
BKNG,us,2016-03-31,2016-05-04T00:00:00,,,,,,9052367000.0,6421202000.0,,7.47,sec_edgar:companyfacts
BKNG,us,2016-06-30,2016-08-04T00:00:00,,,,,,9274705000.0,7255205000.0,,19.06,sec_edgar:companyfacts
BKNG,us,2016-09-30,2016-11-07T00:00:00,,,,,,9802570000.0,6347207000.0,,29.19,sec_edgar:companyfacts
BKNG,us,2016-12-31,2019-02-27T00:00:00,10743000000.0,,,3764111000.0,,9820142000.0,6170522000.0,,42.65,sec_edgar:companyfacts
BKNG,us,2017-03-31,2019-02-27T00:00:00,2419000000.0,,,,,10811019000.0,7286102000.0,,9.11,sec_edgar:companyfacts
BKNG,us,2017-06-30,2018-08-09T00:00:00,5443960000.0,,,1454565000.0,,11589669000.0,7564636000.0,,23.49,sec_edgar:companyfacts
BKNG,us,2017-09-30,2018-11-05T00:00:00,9877989000.0,,,3264733000.0,,12876994000.0,8726679000.0,,57.85,sec_edgar:companyfacts
BKNG,us,2017-12-31,2019-02-27T00:00:00,12681000000.0,,,4374195000.0,,11260598000.0,8809788000.0,,46.86,sec_edgar:companyfacts
BKNG,us,2018-03-31,2019-05-09T00:00:00,2928000000.0,,,508013000.0,,10636343000.0,7990418000.0,,12.34,sec_edgar:companyfacts
BKNG,us,2018-06-30,2018-08-09T00:00:00,6465295000.0,,,2055184000.0,,10472632000.0,7764580000.0,,32.42,sec_edgar:companyfacts
BKNG,us,2018-09-30,2018-11-05T00:00:00,11314385000.0,,,3898177000.0,,9951810000.0,8703901000.0,,69.07,sec_edgar:companyfacts
BKNG,us,2018-12-31,2019-02-27T00:00:00,14527000000.0,,,4896000000.0,,8785000000.0,8649000000.0,,83.26,sec_edgar:companyfacts
BKNG,us,2019-03-31,2019-05-09T00:00:00,2837000000.0,,,39000000.0,,6915000000.0,7619000000.0,,16.85,sec_edgar:companyfacts
BKNG,us,2019-06-30,2019-08-07T00:00:00,6687000000.0,,,1738000000.0,,5307000000.0,7686000000.0,,39.17,sec_edgar:companyfacts
BKNG,us,2019-09-30,2019-11-07T00:00:00,11727000000.0,,,3507000000.0,,5951000000.0,7512000000.0,,84.06,sec_edgar:companyfacts
BKNG,us,2019-12-31,2020-02-26T00:00:00,15066000000.0,,,4497000000.0,,5933000000.0,7640000000.0,,111.82,sec_edgar:companyfacts
BKNG,us,2020-03-31,2020-05-07T00:00:00,2288000000.0,,,-460000000.0,,3831000000.0,7553000000.0,,-17.01,sec_edgar:companyfacts
BKNG,us,2020-06-30,2020-08-06T00:00:00,2918000000.0,,,-408000000.0,,3999000000.0,10633000000.0,,-14.07,sec_edgar:companyfacts
BKNG,us,2020-09-30,2020-11-05T00:00:00,5558000000.0,,,440000000.0,,4913000000.0,10829000000.0,,5.44,sec_edgar:companyfacts
BKNG,us,2020-12-31,2021-02-24T00:00:00,6796000000.0,,,-201000000.0,,4893000000.0,,,1.44,sec_edgar:companyfacts
BKNG,us,2021-03-31,2021-05-05T00:00:00,1141000000.0,,,-272000000.0,,4764000000.0,,,-1.34,sec_edgar:companyfacts
BKNG,us,2021-06-30,2021-08-04T00:00:00,3301000000.0,,,821000000.0,,4799000000.0,,,-5.42,sec_edgar:companyfacts
BKNG,us,2021-09-30,2021-11-03T00:00:00,7977000000.0,,,2338000000.0,,5545000000.0,,,13.22,sec_edgar:companyfacts
BKNG,us,2021-12-31,2022-02-23T00:00:00,10958000000.0,,,2516000000.0,,6178000000.0,,,28.17,sec_edgar:companyfacts
BKNG,us,2022-03-31,2022-05-04T00:00:00,2695000000.0,,,1586000000.0,,4373000000.0,,,-17.1,sec_edgar:companyfacts
BKNG,us,2022-06-30,2022-08-03T00:00:00,6989000000.0,,,4184000000.0,,4002000000.0,,,3.84,sec_edgar:companyfacts
BKNG,us,2022-09-30,2022-11-02T00:00:00,13041000000.0,,,4088000000.0,,3670000000.0,,,45.0,sec_edgar:companyfacts
BKNG,us,2022-12-31,2023-02-23T00:00:00,17090000000.0,,,6186000000.0,,2782000000.0,12485000000.0,,76.35,sec_edgar:companyfacts
BKNG,us,2023-03-31,2023-05-04T00:00:00,3778000000.0,,,2801000000.0,,1074000000.0,,,7.0,sec_edgar:companyfacts
BKNG,us,2023-06-30,2023-08-03T00:00:00,9240000000.0,,,4446000000.0,,-665000000.0,,,41.51,sec_edgar:companyfacts
BKNG,us,2023-09-30,2023-11-02T00:00:00,16581000000.0,,,5747000000.0,,-625000000.0,,,110.02,sec_edgar:companyfacts
BKNG,us,2023-12-31,2024-02-22T00:00:00,21365000000.0,,,6999000000.0,,-2744000000.0,14184000000.0,,117.4,sec_edgar:companyfacts
BKNG,us,2024-03-31,2024-05-02T00:00:00,4415000000.0,,,2574000000.0,,-4052000000.0,16900000000.0,,22.37,sec_edgar:companyfacts
BKNG,us,2024-06-30,2024-08-01T00:00:00,10274000000.0,,,4953000000.0,,-4276000000.0,16808000000.0,,66.6,sec_edgar:companyfacts
BKNG,us,2024-09-30,2024-10-30T00:00:00,18268000000.0,,,7249000000.0,,-3653000000.0,16212000000.0,,140.45,sec_edgar:companyfacts
